trace,label,cause,evelabel
"request certification , check form data",normal,,[0 0]
"choose the correct certification , compile the form",normal,,[0 0]
"glossary ca fef ac registration gross pathology request , glossary fc af assign container to gross pathology request , glossary://0a9251ac43e9431b849089509c04997d/Specimen description;; , glossary://0e04e28c6eb748179bfdae6ec45c1d1d/Tissue processing;; , assign cases to pathologist , glossary://f7cdc534108e43d3b590ab10df465b89/Microscopic examination and diagnosis ;; , glossary bbfa ee df write pathology report , glossary ff eb aef confirmation pathology report , glossary af delivery pathology report , glossary be bdfd post report processing",normal,,[0 0 0 0 0 0 0 0 0 0]
"glossary ca fef ac registration gross pathology request , glossary fc af assign container to gross pathology request , glossary://0a9251ac43e9431b849089509c04997d/Specimen description;; , glossary ca fef ac registration gross pathology request cont , macroscopic description writing , assign cases to pathologist , glossary://f7cdc534108e43d3b590ab10df465b89/Microscopic examination and diagnosis ;; , glossary bbfa ee df write pathology report , glossary ff eb aef confirmation pathology report , glossary af delivery pathology report , glossary be bdfd post report processing",normal,,[0 0 0 0 0 0 0 0 0 0 0]
"glossary ca fef ac registration gross pathology request , glossary fc af assign container to gross pathology request , glossary://0a9251ac43e9431b849089509c04997d/Specimen description;; , glossary://0e04e28c6eb748179bfdae6ec45c1d1d/Tissue processing;; , glossary ad bb cfbacf digitalization , assign cases to pathologist , glossary://f7cdc534108e43d3b590ab10df465b89/Microscopic examination and diagnosis ;; , glossary bbfa ee df write pathology report , glossary ff eb aef confirmation pathology report , glossary af delivery pathology report , glossary be bdfd post report processing",normal,,[0 0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order salad , looking for tiramisu , order no desert , order glass of wine , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order salad , order dessert tiramisu , order glass of wine , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order salad , order glass of wine , looking for tiramisu , order dessert tiramisu , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order glass of wine , order no desert , order salad , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order salad , order glass of wine , looking for tiramisu , order no desert , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order glass of wine , looking for tiramisu , order dessert tiramisu , order salad , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order no desert , order glass of wine , order salad , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order glass of wine , looking for tiramisu , order no desert , order salad , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order no desert , order salad , order glass of wine , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order glass of wine , order salad , order no desert , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order salad , order glass of wine , order no desert , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order glass of wine , order salad , looking for tiramisu , order no desert , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order dessert tiramisu , order glass of wine , order salad , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order glass of wine , looking for tiramisu , order salad , order no desert , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order salad , order no desert , order glass of wine , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order glass of wine , order salad , order dessert tiramisu , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order glass of wine , order salad , looking for tiramisu , order dessert tiramisu , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order salad , looking for tiramisu , order dessert tiramisu , order glass of wine , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order salad , looking for tiramisu , order glass of wine , order no desert , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order glass of wine , order dessert tiramisu , order salad , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order dessert tiramisu , order salad , order glass of wine , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , looking for tiramisu , order salad , order glass of wine , order dessert tiramisu , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order glass of wine , looking for tiramisu , order salad , order dessert tiramisu , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"take seat , read menue , order salad , looking for tiramisu , order glass of wine , order dessert tiramisu , food and wine , eat and drink , pay the bill , leave restaurant",normal,,[0 0 0 0 0 0 0 0 0 0]
"enter expenses , generate spreadsheet , approve or disapprove request , payout expenses",normal,,[0 0 0 0]
"enter expenses , generate spreadsheet , approve or disapprove request , enter expenses , generate spreadsheet , approve or disapprove request , payout expenses",normal,,[0 0 0 0 0 0 0]
"prepare feedback proposal , send for approval , dean approval , receive approval , request feedback , receive , reply to feedback , collect all feedback , send collected feedback , receive collected feedback , analyze feedback",normal,,[0 0 0 0 0 0 0 0 0 0 0]
"prepare feedback proposal , send for approval , dean approval , receive approval , request feedback , receive , reply to feedback , collect all feedback , collect all feedback , send collected feedback , receive collected feedback , analyze feedback",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"prepare feedback proposal , send for approval , dean approval , receive denial , prepare feedback proposal , send for approval , dean approval , receive approval , request feedback , receive , reply to feedback , collect all feedback , send collected feedback , receive collected feedback , analyze feedback",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"prepare feedback proposal , send for approval , dean approval , receive denial , prepare feedback proposal , send for approval , dean approval , receive approval , request feedback , receive , reply to feedback , collect all feedback , collect all feedback , send collected feedback , receive collected feedback , analyze feedback",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , prepare food , give food to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"request room service , recieves order",normal,,[0 0]
"get user request , prepare food , give food to waiter , readies cart , prepare beverages , add non alchoholic drinks , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , readies cart , add non alchoholic drinks , prepare food , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give food to waiter , give beverages to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give beverages to waiter , give food to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , give food to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , give beverages to waiter , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare food , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , give food to waiter , add non alchoholic drinks , prepare beverages , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare food , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , readies cart , give food to waiter , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , prepare food , readies cart , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , prepare beverages , give food to waiter , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare beverages , prepare food , collect the food , give beverages to waiter , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give food to waiter , readies cart , add non alchoholic drinks , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , prepare food , collect the food , give food to waiter , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , readies cart , give food to waiter , add non alchoholic drinks , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give food to waiter , readies cart , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , prepare beverages , give beverages to waiter , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , give food to waiter , give beverages to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , readies cart , prepare food , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , give food to waiter , prepare beverages , give beverages to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , give beverages to waiter , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , give beverages to waiter , add non alchoholic drinks , prepare food , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , readies cart , add non alchoholic drinks , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , readies cart , give food to waiter , add non alchoholic drinks , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , give beverages to waiter , give food to waiter , readies cart , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare food , prepare beverages , give beverages to waiter , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , give food to waiter , readies cart , add non alchoholic drinks , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , give beverages to waiter , add non alchoholic drinks , prepare food , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , give beverages to waiter , prepare food , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , give beverages to waiter , readies cart , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , add non alchoholic drinks , collect the food , give food to waiter , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , prepare food , give beverages to waiter , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , give food to waiter , add non alchoholic drinks , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , readies cart , add non alchoholic drinks , give food to waiter , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , prepare beverages , add non alchoholic drinks , give food to waiter , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , readies cart , give food to waiter , prepare beverages , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , readies cart , give beverages to waiter , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , add non alchoholic drinks , give beverages to waiter , prepare food , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , give beverages to waiter , add non alchoholic drinks , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , give beverages to waiter , add non alchoholic drinks , prepare food , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , give food to waiter , readies cart , prepare beverages , add non alchoholic drinks , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , give beverages to waiter , add non alchoholic drinks , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , give beverages to waiter , prepare food , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare beverages , give beverages to waiter , prepare food , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , prepare food , readies cart , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , add non alchoholic drinks , collect the food , give beverages to waiter , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , readies cart , prepare food , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , give beverages to waiter , prepare food , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , add non alchoholic drinks , collect the food , give beverages to waiter , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , give food to waiter , readies cart , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , prepare beverages , give food to waiter , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , collect the food , give beverages to waiter , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , readies cart , give beverages to waiter , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , readies cart , give beverages to waiter , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , readies cart , give beverages to waiter , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , collect the food , prepare food , give beverages to waiter , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give beverages to waiter , readies cart , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , give beverages to waiter , readies cart , prepare food , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , prepare food , give food to waiter , add non alchoholic drinks , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , prepare beverages , give beverages to waiter , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , add non alchoholic drinks , prepare food , collect the food , give food to waiter , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , add non alchoholic drinks , prepare food , give beverages to waiter , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare beverages , collect the food , give beverages to waiter , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , give food to waiter , add non alchoholic drinks , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , give food to waiter , prepare beverages , readies cart , add non alchoholic drinks , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give beverages to waiter , readies cart , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , give beverages to waiter , prepare food , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , readies cart , give beverages to waiter , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , give food to waiter , prepare beverages , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , add non alchoholic drinks , give beverages to waiter , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , add non alchoholic drinks , give beverages to waiter , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , add non alchoholic drinks , prepare beverages , give beverages to waiter , collect the food , prepare food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , prepare food , give beverages to waiter , readies cart , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , give beverages to waiter , readies cart , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , prepare beverages , give food to waiter , add non alchoholic drinks , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare food , prepare beverages , readies cart , give food to waiter , give beverages to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , prepare food , give beverages to waiter , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , add non alchoholic drinks , give food to waiter , collect the food , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , prepare beverages , readies cart , prepare food , give beverages to waiter , add non alchoholic drinks , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare food , prepare beverages , give beverages to waiter , add non alchoholic drinks , give food to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , prepare food , add non alchoholic drinks , collect the food , give food to waiter , give beverages to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , give beverages to waiter , prepare food , give food to waiter , add non alchoholic drinks , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , prepare food , give food to waiter , give beverages to waiter , collect the food , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
"get user request , readies cart , prepare beverages , add non alchoholic drinks , give beverages to waiter , prepare food , collect the food , give food to waiter , deliver to the guest , debits the guest account",normal,,[0 0 0 0 0 0 0 0 0 0]
